,text
0,RT @CoinLaundryAssn: The generosity of the Williford family and other members of the self-service #laundry industry is in action right now in #NorthCarolina helping those affected by #HurricaneFlorence2018 The FCLA has committed to #donating funds to help cover the costs of the food. https://t.co/ZBjAFCDeK0
1,Our team on the ground in S.C. worked with @humanesociety and Horry Co. authorities to pull two young bulls and a heifer out of a flooded farm today. We are so grateful for the work they are doing for the animals. #InspireCompassion #HurricaneFlorence2018 https://t.co/c7MVgmue2H
2,"I spray myself down, over and over, practically bathing in bug repellent and yet I'm still a piece of meat walking around outside trying to cleanup this mess. I'm tired of mosquitoes biting me! #newbernnc #florenceNC #florence2018 #HurricaneFlorence2018"
3,"RT @DE_RandyW: Update on solar in NC after #HurricaneFlorence2018
20 distribution-connected projects offline
6 - Due to @Dukeenergy (upstream substation issues)
2 - Due to customer issues (possible site damage)
12 offline - Unknown reasons https://t.co/seWFHHAfQv"
4,"RT @DE_RandyW: Update on solar in NC after #HurricaneFlorence2018
20 distribution-connected projects offline
6 - Due to @Dukeenergy (upstream substation issues)
2 - Due to customer issues (possible site damage)
12 offline - Unknown reasons https://t.co/seWFHHAfQv"
5,"Update on solar in NC after #HurricaneFlorence2018
20 distribution-connected projects offline
6 - Due to @Dukeenergy (upstream substation issues)
2 - Due to customer issues (possible site damage)
12 offline - Unknown reasons https://t.co/seWFHHAfQv"
6,RT @CoinLaundryAssn: The generosity of the Williford family and other members of the self-service #laundry industry is in action right now in #NorthCarolina helping those affected by #HurricaneFlorence2018 The FCLA has committed to #donating funds to help cover the costs of the food. https://t.co/ZBjAFCDeK0
7,The generosity of the Williford family and other members of the self-service #laundry industry is in action right now in #NorthCarolina helping those affected by #HurricaneFlorence2018! The FCLA committed to donating funds to help cover the costs of the food being served. https://t.co/y5Ksjy3Wdg
8,RT @CoinLaundryAssn: The generosity of the Williford family and other members of the self-service #laundry industry is in action right now in #NorthCarolina helping those affected by #HurricaneFlorence2018 The FCLA has committed to #donating funds to help cover the costs of the food. https://t.co/ZBjAFCDeK0
9,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
10,RT @Americanmodins: #HurricaneFlorence2018 brought flooding and power outages to thousands of homes. Learn more about  post-hurricane recovery resources and safety guidelines from @disastersafety. Share these with your friends and family impacted by the storm: https://t.co/HgmvxnGWNj
11,"RT @RStradling: Nearly two weeks after #HurricaneFlorence2018, hundreds of roads still closed in #NorthCarolina. @NCDOT https://t.co/vRd1y9bX9z"
12,"RT @SamEdney4WNC: The majority in the #ncga not only refused to hold Duke Energy accountable for polluting drinking water, but gave them tax cuts &amp; rate increases. Time will tell how much the NC environment will suffer as a result. #ncpol #hurricaneflorence2018 #ncgov https://t.co/b4YF6QuFxB"
13,"RT @RevDeanna: Y’all this place of powerful #faithformation is going to need our support. Reach out when you can.
#UniversalistHistory and future @UCONCI 

#HurricaneFlorence2018 
@uuaccc @UUSC @UUA https://t.co/rfev3WK4J3"
14,"RT @RStradling: Nearly two weeks after #HurricaneFlorence2018, hundreds of roads still closed in #NorthCarolina. @NCDOT https://t.co/vRd1y9bX9z"
15,The generosity of the Williford family and other members of the self-service #laundry industry is in action right now in #NorthCarolina helping those affected by #HurricaneFlorence2018 The FCLA has committed to #donating funds to help cover the costs of the food. https://t.co/ZBjAFCDeK0
16,"RT @americanrivers: Despite a lack of national news coverage, the situation in the Carolinas is only getting worse for many. #HurricaneFlorence2018 #Florence https://t.co/PeTLgVUfpF 
📷@NASA https://t.co/bK878NZ3d9"
17,"RT @mikeshinoda: A note on #HurricaneFlorence2018–the long road to recovery has just begun. Join @musicforrelief &amp; @eifoundation to help people, animals and communities in the #Carolinas https://t.co/pPruapyDzn"
18,RT @newsobserver: They heard their cries and couldn’t walk away so they helped save 18 dogs in Kinston https://t.co/Iw4HY5BfVX #hurricaneflorence2018 https://t.co/OjtQcbIgVA
19,RT @_andrewcarter: I’ll never forget what I saw today in Kinston for as long as I live — people rescuing dogs down a flooded country road south of town. It was hard not to be emotional. Here’s hoping this guy is OK tonight. #HurricaneFlorence2018 https://t.co/TzpB14X05b
20,RT @rmagency: Our team is getting ready to pitch in and join our community to help out #HurricaneFlorence2018 disaster relief. Visit https://t.co/QSjlLox8Pc for more information on how we can join forces to help our neighbors. #KindnessMatters https://t.co/KwxUh5rpAU
21,"#kinston
#kinstonnc
#HurricaneFlorence2018 
#FlorenceNC 
#FlorenceAftermath https://t.co/Arxp9lnr1o"
22,RT @ucfoodietv: Don't let Florence keep you away from the Carolinas.  Restaurants open and so are golf course.  We played Farmstead Golf Links in Perfect Condition.  https://t.co/ufaOvCtHQA #HurricaneFlorence2018 #FarmsteadGolfLinks  #CarolinaStrong #CalabashNC
23,RT @lhspirates: Photos from 1st day back. #Pirates #PirateNation #HurricaneFlorence2018 #Lumbertonstrong https://t.co/LOOvXCoNTi https://t.co/DCQlRlhrnx
24,"RT @EnvironmentGA: In addition to coal ash ponds &amp; nuclear power plants, hog waste lagoons are also in the path of #HurricaneFlorence. Read @EnvAm's updated blog for more info on what that could mean https://t.co/pBBZHN281f #HurricaneFlorence2018"
25,RT @ucfoodietv: Don't let Florence keep you away from the Carolinas.  Restaurants open and so are golf course.  We played Farmstead Golf Links in Perfect Condition.  https://t.co/ufaOvCtHQA #HurricaneFlorence2018 #FarmsteadGolfLinks  #CarolinaStrong #CalabashNC
26,"RT @FOURPAWSUSA: Although it’s been 2 weeks since #HurricaneFlorence2018 reeked havoc in the U.S., flooding is an ongoing, critical threat. Our Disaster Relief Unit is deployed to help affected areas recover. Support our ongoing relief efforts https://t.co/XYsKg9tEQy https://t.co/Bh8l392FnR"
27,"RT @SirBenjaminKing: #FantasyFootball sisters and bro's who took #LeVeonBell as I did my humble advice - limp to week 11 &amp; grab FA RB's. I picked up P. Lindsay (Den) And hey, Bell may come back sooner. In light of people suffering thru #HurricaneFlorence2018 I should probably shut up now."
28,"The #Beacon in The #EAST The Promised #LAND #HurricaneFlorence2018 has devastated area to the NORTH, To The WEST, and I believe their is #CRESTING now to the south. We are #GHOST #Town, cut off from area bordered by swollen rivers.. #FOOD is #Scarce https://t.co/5UXmXPaCZu"
